"id_documento","folio","op_control"
"8983",NULL,"0991-2022"
"8987","0878-2022","0992-2022"
"8991","0880-2022","0993-2022"
"8992","0881-2022","0994-2022"
"8993","0882-2022","0995-2022"
"8994","0883-2022","0996-2022"
"8995","0903-2022","0997-2022"
"8996","0884-2022","0998-2022"
"8997","0885-2022","0999-2022"
"8998","0886-2022","1000-2022"
"8999","0887-2022","1001-2022"
"9000","0888-2022","1002-2022"
"9001","0889-2022","1003-2022"
"9018","0890-2022","1004-2022"
"9020","0891-2022","1005-2022"
"9025","0892-2022","1006-2022"
"9026","0893-2022","1007-2022"
"9027","0894-2022","1008-2022"
"9029","0895-2022","1009-2022"
"9030","DGRDC-0020-2022","0020-2022"
"9031","0896-2022","1010-2022"
"9032","0897-2022","1011-2022"
"9033","0898-2022","1012-2022"
"9037","0901-2022","1013-2022"
"9038","0899-2022","1014-2022"
"9039","0900-2022","1015-2022"
"9040","0902-2022","1016-2022"
"9044","0904-2022","1017-2022"
"9045","0906-2022","1018-2022"
"9046","0905-2022","1019-2022"
"9047","0907-2022","1020-2022"
"9051","0908-2022","1021-2022"
"9053","0909-2022","1022-2022"
"9054","0910-2022","1023-2022"
"9055","0911-2022","1024-2022"
"9056","0914-2022","1025-2022"
"9057","0913-2022","1026-2022"
"9060","0912-2022","1027-2022"
"9061","0916-2022","1028-2022"
"9062","0920-2022","1029-2022"
"9063","0917-2022","1030-2022"
"9064","0915-2022","1031-2022"
"9065","0918-2022","1032-2022"
"9066","0919-2022","1033-2022"
"9075","0921-2022","1034-2022"
"9077","0926-2022","1035-2022"
"9078","0922-2022","1036-2022"
"9080","0923-2022","1037-2022"
"9081","0924-2022","1038-2022"
"9086","0925-2022","1039-2022"
"9090","0929-2022","1040-2022"
"9091","0927-2022","1041-2022"
"9093","0928-2022","1042-2022"
"9094","DGRDC-0021-2022","0021-2022"
"9095","DGRDC-0022-2022","0022-2022"
"9098","0930-2022","1043-2022"
"9099","0931-2022","1044-2022"
"9114","0932-2022","1045-2022"
"9122","0933-2022","1046-2022"
"9123","0934-2022","1047-2022"
"9124","0935-2022","1048-2022"
"9126","0936-2022","1049-2022"
"9127","0937-2022","1050-2022"
"9128","0938-2022","1051-2022"
"9133","0939-2022","1052-2022"
"9134","0940-2022","1053-2022"
"9137","0941-2022","1054-2022"
"9138","0942-2022","1055-2022"
"9140","0943-2022","1056-2022"
"9144","0944-2022","1057-2022"
"9158",NULL,"1058-2022"
"9159",NULL,"1059-2022"
"9160",NULL,"1060-2022"
"9161",NULL,"1061-2022"
"9162",NULL,"1062-2022"
"9163",NULL,"1063-2022"
"9164",NULL,"1064-2022"
"9165",NULL,"1065-2022"
"9166",NULL,"1066-2022"
"9167",NULL,"1067-2022"
"9168",NULL,"1068-2022"
"9169",NULL,"1069-2022"
"9170",NULL,"1070-2022"
"9171","0945-2022","1071-2022"
"9172","0946-2022","1072-2022"
"9173","0947-2022","1073-2022"
"9174","0948-2022","1074-2022"
"9175",NULL,"1075-2022"
"9178","0949-2022","1076-2022"
"9179","0950-2022","1077-2022"
"9180","0957-2022","1078-2022"
"9181","0955-2022","1079-2022"
"9183","0951-2022","1080-2022"
"9184","0952-2022","1081-2022"
"9186","0954-2022","1082-2022"
"9187","0953-2022","1083-2022"
"9188","0956-2022","1084-2022"
"9191","0958-2022","1085-2022"
"9194","0959-2022","1086-2022"
"9195","0960-2022","1087-2022"
"9196","0961-2022","1088-2022"
"9207","0962-2022","1089-2022"
"9208","0963-2022","1090-2022"
"9216","0964-2022","1091-2022"
"9217","0965-2022","1092-2022"
"9219","0966-2022","1093-2022"
"9224","0967-2022","1094-2022"
"9225",NULL,"1095-2022"
"9226",NULL,"1096-2022"
"9227",NULL,"1097-2022"
"9228",NULL,"1098-2022"
"9229","0972-2022","1099-2022"
"9230","0968-2022","1100-2022"
"9231","0969-2022","1101-2022"
"9232","0970-2022","1102-2022"
"9233","0971-2022","1103-2022"
"9234","0973-2022","1104-2022"
"9246","0974-2022","1105-2022"
"9247","0975-2022","1106-2022"
"9248","0976-2022","1107-2022"
"9249","0977-2022","1108-2022"
"9250","0978-2022","1109-2022"
"9263","0979-2022","1110-2022"
"9266","0980-2022","1111-2022"
"9269","0981-2022","1112-2022"
"9270","0982-2022","1113-2022"
"9287","0983-2022","1114-2022"
"9288","0984-2022","1115-2022"
"9289","DGRDC-0023-2022","0023-2022"
"9292","0986-2022","1116-2022"
"9305","0990-2022","1118-2022"
"9306","0991-2022","1119-2022"
"9307","0989-2022","1120-2022"
"9308","0988-2022","1121-2022"
"9319","0993-2022","1122-2022"
"9320","0994-2022","1123-2022"
"9326","0992-2022","1124-2022"
"9329","0995-2022","1125-2022"
"9332","0996-2022","1126-2022"
"9335","0997-2022","1127-2022"
"9336","0998-2022","1128-2022"
"9337","0999-2022","1129-2022"
"9343","1000-2022","1130-2022"
"9349","1001-2022","1131-2022"
"9350","1002-2022","1132-2022"
"9351","1003-2022","1133-2022"
"9356","1004-2022","1134-2022"
"9357","1005-2022","1135-2022"
"9358","1006-2022","1136-2022"
"9359","1008-2022","1137-2022"
"9360","1007-2022","1138-2022"
"9381","1009-2022","1139-2022"
"9382","1010-2022","1140-2022"
"9383","1011-2022","1141-2022"
"9384",NULL,"1142-2022"
"9385","1012-2022","1143-2022"
"9386","1013-2022","1144-2022"
"9387","1015-2022","1145-2022"
"9388","1016-2022","1146-2022"
"9390","1014-2022","1147-2022"
"9393","1017-2022","1148-2022"
"9395","1018-2022","1149-2022"
"9396","1020-2022","1150-2022"
"9398","1021-2022","1151-2022"
"9399","1019-2022","1152-2022"
"9401","1022-2022","1153-2022"
"9413","1023-2022","1154-2022"
"9414","1024-2022","1155-2022"
"9433","1026-2022","1157-2022"
"9435","1027-2022","1158-2022"
"9436","1028-2022","1159-2022"
"9437","1030-2022","1160-2022"
"9448","1031-2022","1161-2022"
"9449","1032-2022","1162-2022"
"9450","1033-2022","1163-2022"
"9451","1034-2022","1164-2022"
"9452","1035-2022","1165-2022"
"9453","1036-2022","1166-2022"
"9454","1038-2022","1167-2022"
"9455","1037-2022","1168-2022"
"9466","1039-2022","1169-2022"
"9467","1040-2022","1170-2022"
"9468","1041-2022","1171-2022"
"9472","1042-2022","1172-2022"
"9473","1043-2022","1173-2022"
"9474","1044-2022","1174-2022"
"9475","1045-2022","1175-2022"
"9479","1046-2022","1176-2022"
"9482","1047-2022","1177-2022"
"9486","1050-2022","1178-2022"
"9487","1052-2022","1179-2022"
"9488","1053-2022","1180-2022"
"9491","1054-2022","1181-2022"
"9492","1048-2022","1182-2022"
"9493","1049-2022","1183-2022"
"9494","1051-2022","1184-2022"
"9498","1055-2022","1185-2022"
"9499","1056-2022","1186-2022"
"9500","1057-2022","1187-2022"
"9501","1058-2022","1188-2022"
"9502","1059-2022","1189-2022"
"9504","1060-2022","1190-2022"
"9505","1061-2022","1191-2022"
"9508","1063-2022","1193-2022"
"9509","1062-2022","1194-2022"
"9510","1065-2022","1195-2022"
"9512","1066-2022","1196-2022"
"9513","1067-2022","1197-2022"
"9518","1068-2022","1198-2022"
"9519","1069-2022","1199-2022"
"9520","1070-2022","1200-2022"
"9521","1071-2022","1201-2022"
"9522","1072-2022","1202-2022"
"9523","1073-2022","1203-2022"
"9524","1074-2022","1204-2022"
"9525","1075-2022","1205-2022"
"9526","1076-2022","1206-2022"
"9527","1077-2022","1207-2022"
"9528","1078-2022","1208-2022"
"9529","1079-2022","1209-2022"
"9530","1080-2022","1210-2022"
"9531","1081-2022","1211-2022"
"9532","1082-2022","1212-2022"
"9533","1083-2022","1213-2022"
"9534","1084-2022","1214-2022"
"9535","1085-2022","1215-2022"
"9536","1086-2022","1216-2022"
"9537","1087-2022","1217-2022"
"9538","1088-2022","1218-2022"
"9539","1089-2022","1219-2022"
"9540","1090-2022","1220-2022"
"9541","1091-2022","1221-2022"
"9542","1092-2022","1222-2022"
"9543","1093-2022","1223-2022"
"9544","1094-2022","1224-2022"
"9545","1095-2022","1225-2022"
"9546","1096-2022","1226-2022"
"9547","1097-2022","1227-2022"
"9548","1098-2022","1228-2022"
"9549","1099-2022","1229-2022"
"9550","1100-2022","1230-2022"
"9551","1101-2022","1231-2022"
"9554","1102-2022","1232-2022"
"9558",NULL,"1233-2022"
"9559","1103-2022","1234-2022"
"9560","1111-2022","1235-2022"
"9561","1104-2022","1236-2022"
"9574","1105-2022","1237-2022"
"9575","1107-2022","1238-2022"
"9576","1108-2022","1239-2022"
"9577","1109-2022","1240-2022"
"9599","1110-2022","1243-2022"
"9602","1112-2022","1244-2022"
"9608","1114-2022","1245-2022"
"9610","1115-2022","1246-2022"
"9619","1116-2022","1247-2022"
"9620","1117-2022","1248-2022"
"9621","1118-2022","1249-2022"
"9622","1119-2022","1250-2022"
"9624","DGRDC-0025-2022","0025-2022"
"9625","DGRDC-0026-2022","0026-2022"
"9626","DGRDC-0027-2022","0027-2022"
