id_documento,folio,id_direccion,Observaciones,,,,,,,,,,
8908,0840-2022,13,,,,,,,,,,,
8909,0841-2022,13,,,,,,,,,,,
8915,0843-2022,16,,,,,,,,,,,
8916,0844-2022,16,,,,,,,,,,,
8920,0845-2022,8,,,,,,,,,,,
8922,0846-2022,16,,,,,,,,,,,
8923,0847-2022,16,,,,,,,,,,,
8924,0848-2022,16,,,,,,,,,,,
8925,0849-2022,16,,,,,,,,,,,
8926,0850-2022,13,,,,,,,,,,,
8927,0852-2022,15,,,,,,,,,,,
8928,0853-2022,16,,,,,,,,,,,
8929,0851-2022,8,,,,,,,,,,,
8932,0854-2022,16,,,,,,,,,,,
8933,0855-2022,16,,,,,,,,,,,
8934,0860-2022,11,,,,,,,,,,,
8935,NULL,,,,,,,,,,,,
8936,0861-2022,13,,,,,,,,,,,
8937,0856-2022,16,,,,,,,,,,,
8938,0857-2022,13,,,,,,,,,,,
8943,0859-2022,16,,,,,,,,,,,
8944,0858-2022,,no esta en carpeta,,,,,,,,,,
8946,0862-2022,13,,,,,,,,,,,
8956,NULL,,,,,,,,,,,,
8962,0863-2022,16,,,,,,,,,,,
8963,0864-2022,13,,,,,,,,,,,
8964,0865-2022,13,,,,,,,,,,,
8965,0879-2022,8,,,,,,,,,,,
8966,0866-2022,13,,,,,,,,,,,
8967,0867-2022,13,,,,,,,,,,,
8968,0868-2022,13,,,,,,,,,,,
8969,0871-2022,13,,,,,,,,,,,
8970,0872-2022,13,,,,,,,,,,,
8971,0873-2022,13,,,,,,,,,,,
8972,0869-2022,8,,,,,,,,,,,
8973,0874-2022,16,,,,,,,,,,,
8978,0870-2022,16,,,,,,,,,,,
8979,0875-2022,13,,,,,,,,,,,
8981,0876-2022,13,,,,,,,,,,,
8982,0877-2022,11,,,,,,,,,,,
8983,NULL,,,,,,,,,,,,
8987,0878-2022,50,,,,,,,,,,,
8991,0880-2022,13,,,,,,,,,,,
8992,0881-2022,13,,,,,,,,,,,
8993,0882-2022,13,,,,,,,,,,,
8994,0883-2022,16,,,,,,,,,,,
8995,0903-2022,11,,,,,,,,,,,
8996,0884-2022,13,,,,,,,,,,,
8997,0885-2022,13,,,,,,,,,,,
8998,0886-2022,13,,,,,,,,,,,
8999,0887-2022,13,,,,,,,,,,,
9000,0888-2022,16,,,,,,,,,,,
9001,0889-2022,16,,,,,,,,,,,
9018,0890-2022,16,,,,,,,,,,,
9020,0891-2022,16,,,,,,,,,,,
9025,0892-2022,16,,,,,,,,,,,
9026,0893-2022,9,,,,,,,,,,,
9027,0894-2022,10,,,,,,,,,,,
9029,0895-2022,13,,,,,,,,,,,
9030,DGRDC-0020-2022,,,,,,,,,,,,
9031,0896-2022,13,,,,,,,,,,,
9032,0897-2022,16,,,,,,,,,,,
9033,0898-2022,16,,,,,,,,,,,
9037,0901-2022,13,,,,,,,,,,,
9038,0899-2022,16,,,,,,,,,,,
9039,0900-2022,13,,,,,,,,,,,
9040,0902-2022,8,,,,,,,,,,,
9044,0904-2022,10,,,,,,,,,,,
9045,0906-2022,9,,,,,,,,,,,
9046,0905-2022,16,,,,,,,,,,,
9047,0907-2022,9,,,,,,,,,,,
9051,0908-2022,50,,,,,,,,,,,
9053,0909-2022,13,,,,,,,,,,,
9054,0910-2022,13,,,,,,,,,,,
9055,0911-2022,13,,,,,,,,,,,
9056,0914-2022,50,,,,,,,,,,,
9057,0913-2022,16,,,,,,,,,,,
9060,0912-2022,8,,,,,,,,,,,
9061,0916-2022,16,,,,,,,,,,,
9062,0920-2022,11,,,,,,,,,,,
9063,0917-2022,10,,,,,,,,,,,
9064,0915-2022,13,,,,,,,,,,,
9065,0918-2022,18,,,,,,,,,,,
9066,0919-2022,13,,,,,,,,,,,
9075,0921-2022,10,,,,,,,,,,,
9077,0926-2022,50,,,,,,,,,,,
9078,0922-2022,18,,,,,,,,,,,
9080,0923-2022,13,,,,,,,,,,,
9081,0924-2022,13,,,,,,,,,,,
9086,0925-2022,13,,,,,,,,,,,
9090,0929-2022,13,,,,,,,,,,,
9091,0927-2022,13,,,,,,,,,,,
9093,0928-2022,13,,,,,,,,,,,
9094,DGRDC-0021-2022,,,,,,,,,,,,
9095,DGRDC-0022-2022,,,,,,,,,,,,
9098,0930-2022,15,,,,,,,,,,,
9099,0931-2022,16,,,,,,,,,,,
9114,0932-2022,50,,,,,,,,,,,
9122,0933-2022,8,,,,,,,,,,,
9123,0934-2022,13,,,,,,,,,,,
9124,0935-2022,13,,,,,,,,,,,
9126,0936-2022,13,,,,,,,,,,,
9127,0937-2022,13,,,,,,,,,,,
9128,0938-2022,16,,,,,,,,,,,
9133,0939-2022,16,,,,,,,,,,,
9134,0940-2022,16,,,,,,,,,,,
9137,0941-2022,16,,,,,,,,,,,
9138,0942-2022,16,,,,,,,,,,,
9140,0943-2022,13,,,,,,,,,,,
9144,0944-2022,13,,,,,,,,,,,
9158,NULL,,,,,,,,,,,,
9159,NULL,,,,,,,,,,,,
9160,NULL,,,,,,,,,,,,
9161,NULL,,,,,,,,,,,,
9162,NULL,,,,,,,,,,,,
9163,NULL,,,,,,,,,,,,
9164,NULL,,,,,,,,,,,,
9165,NULL,,,,,,,,,,,,
9166,NULL,,,,,,,,,,,,
9167,NULL,,,,,,,,,,,,
9168,NULL,,,,,,,,,,,,
9169,NULL,,,,,,,,,,,,
9170,NULL,,,,,,,,,,,,
9171,0945-2022,13,,,,,,,,,,,
9172,0946-2022,13,,,,,,,,,,,
9173,0947-2022,13,,,,,,,,,,,
9174,0948-2022,16,,,,,,,,,,,
9175,NULL,,,,,,,,,,,,
9178,0949-2022,16,,,,,,,,,,,
9179,0950-2022,16,,,,,,,,,,,
9180,0957-2022,9,,,,,,,,,,,
9181,0955-2022,16,,,,,,,,,,,
9183,0951-2022,13,,,,,,,,,,,
9184,0952-2022,,no esta en carpeta,,,,,,,,,,
9186,0954-2022,13,,,,,,,,,,,
9187,0953-2022,16,,,,,,,,,,,
9188,0956-2022,16,,,,,,,,,,,
9191,0958-2022,16,,,,,,,,,,,
9194,0959-2022,15,,,,,,,,,,,
9195,0960-2022,13,,,,,,,,,,,
9196,0961-2022,16,,,,,,,,,,,
9207,0962-2022,16,,,,,,,,,,,
9208,0963-2022,13,,,,,,,,,,,
9216,0964-2022,8,,,,,,,,,,,
9217,0965-2022,16,,,,,,,,,,,
9219,0966-2022,13,,,,,,,,,,,
9224,0967-2022,13,,,,,,,,,,,
9225,NULL,,,,,,,,,,,,
9226,NULL,,,,,,,,,,,,
9227,NULL,,,,,,,,,,,,
9228,NULL,,,,,,,,,,,,
9229,0972-2022,16,,,,,,,,,,,
9230,0968-2022,16,,,,,,,,,,,
9231,0969-2022,16,,,,,,,,,,,
9232,0970-2022,8,,,,,,,,,,,
9233,0971-2022,13,,,,,,,,,,,
9234,0973-2022,13,,,,,,,,,,,
