"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2566F","-99.06687778","19.47952222","Primaria","Federal","Juan Jacobo Rousseau","Gustavo A. Madero","7500"
"09DPR2567E","-99.07163056","19.42169444","Primaria","Federal","Gral. Francisco J. Mujica","Venustiano Carranza","15670"
"09DPR2568D","-99.11003333","19.37703056","Primaria","Federal","Fray Bartolome de Las Casas","Iztapalapa","9410"
"09DPR2570S","-99.11632222","19.41968056","Primaria","Federal","Republica de Yugoslavia","Venustiano Carranza","15970"
"09DPR2571R","-99.10575833","19.41415556","Primaria","Federal","Celerino Cano Palacio","Venustiano Carranza","15900"
"09DPR2574O","-98.96586667","19.31056389","Primaria","Federal","Rafael Ramirez Castaóóeda","Tláhuac","13100"
"09DPR2575N","-99.01452222","19.29401667","Primaria","Federal","Plan de Ayala","Tláhuac","13400"
"09DPR2576M","-99.04906667","19.29441667","Primaria","Federal","Profr. Urbano Lavin Roman","Tláhuac","13200"
"09DPR2577L","-99.047625","19.29606944","Primaria","Federal","Dr. Jaime Torres Bodet","Tláhuac","13200"
"09DPR2580Z","-99.11914722","19.23248889","Primaria","Federal","Adam Mickiewicz","Xochimilco","16800"
"09DPR2582X","-99.11894444","19.31404444","Primaria","Federal","Coyolxauhqui","Coyoacán","4800"
"09DPR2584V","-99.13036944","19.5009","Primaria","Federal","Mtro. Miguel A. Quintana","Gustavo A. Madero","7300"
"09DPR2585U","-98.999325","19.37146944","Primaria","Federal","Luis Pasteur","Iztapalapa","9170"
"09DPR2587S","-99.13135","19.56062778","Primaria","Federal","Lic. Jose Lopez Portillo Y Rojas","Gustavo A. Madero","7140"
"09DPR2588R","-99.13135","19.56062778","Primaria","Federal","Lic. Jose Lopez Portillo Y Rojas","Gustavo A. Madero","7140"
"09DPR2592D","-99.14467222","19.5293","Primaria","Federal","Educacion Para Todos","Gustavo A. Madero","7280"
"09DPR2594B","-99.201925","19.50988611","Primaria","Federal","Profr. Salvador Varela Resendiz","Azcapotzalco","2430"
"09DPR2597Z","-99.06310833","19.36241944","Primaria","Federal","Plan de Iguala","Iztapalapa","9200"
"09DPR2600W","-99.09169167","19.38851389","Primaria","Federal","Juan Jose Martinez","Iztacalco","8730"
"09DPR2606Q","-99.05182778","19.35426111","Primaria","Federal","Ignacio Gonzalez Guzman","Iztapalapa","9200"
"09DPR2608O","-99.10210556","19.38766389","Primaria","Federal","Roberto Koch","Iztacalco","8700"
"09DPR2610C","-99.07711667","19.3979","Primaria","Federal","Dr. Eduardo R. Coronel","Iztacalco","8500"
"09DPR2611B","-99.11850833","19.33089722","Primaria","Federal","Tecayehuatzin","Coyoacán","4430"
"09DPR2617W","-99.10210556","19.38766389","Primaria","Federal","Roberto Koch","Iztacalco","8700"
"09DPR2619U","-99.21901111","19.27626667","Primaria","Federal","Profra. Emma Godoy","Tlalpan","14220"
"09DPR2620J","-99.22988333","19.37256944","Primaria","Federal","Maria Luisa Ross","Álvaro Obregón","1290"
"09DPR2622H","-99.17656944","19.26931944","Primaria","Federal","Profra. Amanda Palafox Y Baz","Tlalpan","14440"
"09DPR2623G","-99.23708611","19.29158056","Primaria","Federal","Profr. Pedro Loredo Ortega","Tlalpan","14100"
"09DPR2624F","-99.19134722","19.27183333","Primaria","Federal","Profr. Sostenes Nicolas Chapa Nieto","Tlalpan","14440"
"09DPR2625E","-99.17656944","19.26931944","Primaria","Federal","Profra. Amanda Palafox Y Baz","Tlalpan","14440"
"09DPR2628B","-99.01248611","19.19287778","Primaria","Federal","Tlaloc","Milpa Alta","12080"
"09DPR2629A","-99.01864167","19.36348889","Primaria","Federal","General Lucio Blanco","Iztapalapa","9520"
"09DPR2630Q","-99.14657222","19.32496389","Primaria","Federal","Centenario de Juarez","Coyoacán","4390"
"09DPR2631P","-99.06078333","19.33929167","Primaria","Federal","Francisco Villa","Iztapalapa","9720"
"09DPR2632O","-99.22988333","19.37256944","Primaria","Federal","Maria Luisa Ross","Álvaro Obregón","1290"
"09DPR2635L","-99.24955","19.32509444","Primaria","Federal","Profra. Ma. Adelina Flores Morales","Magdalena Contreras","10310"
"09DPR2636K","-99.24572778","19.36144444","Primaria","Federal","Profra. Beatriz Avila Garcia","Álvaro Obregón","1530"
"09DPR2637J","-99.21086111","19.27647778","Primaria","Federal","Sebastian Lerdo de Tejada","Tlalpan","14250"
"09DPR2638I","-99.09434444","19.38601944","Primaria","Federal","Lucrecia Toriz","Iztacalco","8030"
"09DPR2639H","-99.19134722","19.27183333","Primaria","Federal","Profr. Sostenes Nicolas Chapa Nieto","Tlalpan","14440"
"09DPR2640X","-99.23708611","19.29158056","Primaria","Federal","Profr. Pedro Loredo Ortega","Tlalpan","14100"
"09DPR2641W","-99.01433056","19.36083333","Primaria","Federal","Francisco Marquez","Iztapalapa","9520"
"09DPR2642V","-99.05248889","19.38660833","Primaria","Federal","Profra. Carmen Ramos Del Rio","Iztapalapa","9219"
"09DPR2643U","-99.06552222","19.31951944","Primaria","Federal","Profr. Jose Romero Y Fuentes","Iztapalapa","9780"
"09DPR2644T","-99.01433056","19.36083333","Primaria","Federal","Francisco Marquez","Iztapalapa","9520"
